ra,dec,class,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroRad_r,extinction_r
205.041772211459,1.2256366839375,Quasar,22.33957,20.69193,20.60227,20.48185,20.59905,22.64906,20.67106,20.6737,20.55878,20.6125,1.332299,0.06422025
205.056271707363,0.496612264634699,Galaxy,24.15581,22.71687,20.99946,19.97933,19.51431,25.93601,22.09508,20.50595,19.45818,18.987,1.734146,0.0817714
205.07441173886,0.882935822764833,Galaxy,23.37353,21.91115,20.22815,19.61556,19.30375,24.58035,21.27997,19.43404,18.75463,18.53402,2.939431,0.07680432
205.081584743984,1.41668459518179,Star,18.25325,17.27528,16.88841,16.77056,16.72031,18.29956,17.30037,16.95146,16.8336,16.79116,1.378984,0.06416983
205.827414081699,1.79915212785297,Galaxy,24.07808,22.59162,20.83035,20.02864,19.46696,22.87317,21.52034,20.02671,19.02419,18.55864,2.969733,0.06789318
205.832147863423,0.749463207469153,Galaxy,21.12029,19.62014,18.81303,18.43817,18.09467,20.05016,18.51762,17.72978,17.26356,16.89178,3.831629,0.09104322
206.036397478618,0.816611842774529,Galaxy,23.26295,22.17574,20.65128,19.82054,19.34552,20.96992,21.38925,19.87716,19.07504,18.47809,3.171983,0.09307818
204.139700996223,1.25807899012098,Star,19.88181,17.72926,16.80714,16.46506,16.263,19.77301,17.52233,16.5992,16.2569,16.07676,1.71342,0.07481074
202.437496584046,1.18293616435052,Galaxy,18.80784,17.57734,16.97588,16.55102,16.07556,17.09252,15.87919,15.2038,14.8548,14.59385,7.4929,0.0757803
202.558033392912,0.936414099988328,Galaxy,23.65019,22.51562,20.81495,20.01688,19.5888,23.57832,21.29169,20.16129,19.35349,18.81737,2.870102,0.0720656
202.597031305572,0.813955892993502,Galaxy,21.56458,19.96899,18.99272,18.53938,18.20309,19.34059,18.03819,17.18687,16.82611,16.55492,6.012094,0.0758998
202.599772390888,1.28455079612512,Galaxy,22.68551,21.69081,20.00979,19.4191,18.86149,22.56093,20.14828,18.61765,18.03024,17.71606,5.075577,0.08581953
204.998512232115,0.0663405755161016,Galaxy,20.98728,19.40639,18.495,18.03024,17.57721,19.4021,17.98831,17.12122,16.62943,16.30348,3.377141,0.08392172
205.03210768723,0.54363978267524,Galaxy,23.72622,22.23423,20.61247,19.84274,19.40451,22.43488,21.70618,20.02402,19.24069,18.95093,2.109705,0.08264589
205.032371937081,0.505437521642989,Galaxy,23.41776,21.87039,20.21407,19.59381,19.19918,20.94611,20.69255,18.98118,18.48036,18.02463,4.019779,0.08269563
204.768133885487,0.372668383443139,Quasar,18.1216,18.02916,17.72975,17.75564,17.88393,18.1332,17.95286,17.63826,17.60403,17.65473,1.630222,0.07838352
204.39623209677,0.0585425932405915,Galaxy,23.365,21.77962,19.89819,19.40364,18.96295,21.90166,20.86566,19.18858,18.48009,17.99787,3.156834,0.07074072
205.720579596977,1.82284863219057,Galaxy,20.85398,19.11143,18.26231,17.87288,17.52892,19.37647,17.89236,16.99363,16.61432,16.41507,5.989789,0.06510498
205.734078443259,1.10426219618866,Galaxy,22.33331,20.10394,18.88243,18.30537,17.92245,20.62438,19.11811,17.90167,17.35265,16.97637,3.578825,0.07728525
205.754221607273,1.82121901884248,Galaxy,22.21216,21.30061,19.56106,19.02117,18.63139,23.26285,20.84374,19.21468,18.58115,18.32351,2.139337,0.06375213
202.218411864033,0.555953375252287,Galaxy,20.38743,19.26605,18.51358,18.14564,17.92328,19.31832,18.1479,17.53765,17.19459,16.97376,3.296687,0.08267526
202.995657940729,0.702805482301311,Galaxy,23.5592,22.78519,20.955,20.11337,19.67125,24.99861,22.08903,20.485,19.65723,19.25359,2.367658,0.07007546
